"","transID","transactionAmount","transactionDate","productID","productCategory","customerID","customerGender"
"47","47",759.39,2010-07-16,"86","C","19","Male"
"48","48",590.64,2013-12-17,"7","C","433","Male"
"49","49",527.28,2011-09-26,"99","D","210","Male"
"50","50",413.76,2019-09-23,"14","A","631","Female"
"51","51",434.66,2010-07-24,"28","B","19","Male"
"52","52",366.25,2009-02-20,"59","C","61","Female"
"53","53",525.13,2018-05-10,"73","C","372","Male"
"54","54",301.14,2002-08-15,"20","B","341","Male"
"55","55",506.78,2006-08-12,"50","C","762","Female"
"56","56",443.54,2002-10-24,"46","B","440","Male"
"57","57",2.9,2015-02-05,"94","D","579","Female"
"58","58",651.83,2008-07-31,"78","C","179","Male"
"59","59",621.26,2006-08-08,"30","B","210","Male"
"60","60",758.47,2017-08-02,"8","C","410","Male"
"61","61",653.54,2019-01-31,"16","A","710","Female"
"62","62",1012.73,2004-03-12,"73","C","260","Male"
"63","63",361.13,2012-10-09,"100","A","226","Male"
"64","64",478.2,2006-09-02,"34","B","127","Male"
"65","65",743.47,2012-03-19,"80","C","80","Female"
"66","66",348.68,2005-03-04,"32","B","579","Female"
"67","67",544.03,2019-08-06,"41","B","413","Male"
"68","68",183.84,2002-03-25,"98","D","888","Female"
"69","69",260.46,2015-09-01,"63","C","973","Female"
"70","70",127.65,2007-10-01,"70","C","105","Male"
"71","71",434,2015-12-11,"11","A","308","Male"
"72","72",729.39,2004-01-28,"51","C","18","Male"
"73","73",593.6,2012-06-05,"45","B","917","Female"
"74","74",553.52,2018-12-23,"44","B","167","Male"
"75","75",438.85,2016-12-20,"29","B","542","Female"
"76","76",403,2019-09-29,"68","C","748","Female"
"77","77",583.84,2003-01-07,"45","B","57","Female"
"78","78",860.83,2006-11-30,"22","B","159","Male"
"79","79",502.81,2017-12-12,"55","C","535","Female"
"80","80",459.85,2017-09-25,"42","B","426","Male"
"81","81",475.84,2003-11-23,"87","C","702","Female"
"82","82",542.55,2013-08-27,"19","A","631","Female"
"83","83",300.07,2017-02-27,"29","B","82","Female"
"84","84",496.03,2014-11-10,"72","C","272","Male"
"85","85",342.57,2003-02-14,"61","C","953","Female"
"86","86",385.52,2019-09-22,"40","B","158","Male"
"87","87",539.11,2006-09-28,"97","D","587","Female"
"88","88",504.95,2016-08-16,"97","D","826","Female"
"89","89",605.07,2010-04-19,"25","B","539","Female"
"90","90",549.42,2018-12-04,"95","D","430","Male"
"91","91",927.25,2013-12-03,"12","A","240","Male"
"92","92",577.15,2002-02-06,"69","C","144","Male"
"93","93",426.87,2004-04-21,"31","B","778","Female"
"94","94",613.3,2006-04-14,"80","C","519","Female"
"95","95",722.58,2006-09-13,"81","C","53","Female"
"96","96",463.16,2013-05-28,"13","A","609","Female"
"97","97",888.77,2018-06-29,"79","C","308","Male"
"98","98",520.41,2018-06-15,"74","C","483","Male"
"99","99",384.8,2016-04-19,"6","C","946","Female"
"100","100",447.09,2014-06-26,"40","B","519","Female"
"101","101",377.28,2011-02-02,"1","A","45","Male"
"102","102",460.59,2006-10-13,"45","B","101","Male"
"103","103",824.57,2009-10-23,"7","C","450","Male"
"104","104",837.92,2013-01-12,"44","B","339","Male"
"105","105",613.22,2014-10-12,"56","C","695","Female"
"106","106",476.41,2007-07-28,"30","B","453","Male"
"107","107",469.22,2012-04-30,"28","B","116","Male"
"108","108",180.13,2014-07-17,"61","C","209","Male"
"109","109",539.32,2012-08-12,"89","C","307","Male"
"110","110",454.05,2014-09-26,"16","A","577","Female"
"111","111",477.11,2012-11-15,"30","B","74","Female"
"112","112",359.63,2005-08-13,"62","C","251","Male"
"113","113",469.75,2003-02-08,"86","C","272","Male"
"114","114",277.78,2012-10-12,"7","C","676","Female"
"115","115",635.54,2004-08-04,"68","C","640","Female"
"116","116",394.67,2002-01-24,"93","D","222","Male"
"117","117",483.67,2014-01-20,"95","D","589","Female"
"118","118",354.57,2017-01-01,"53","C","581","Female"
"119","119",454.34,2016-11-19,"23","B","947","Female"
"120","120",220.05,2008-07-22,"68","C","781","Female"
"121","121",627.97,2002-05-21,"20","B","810","Female"
"122","122",791.09,2004-09-18,"49","B","150","Male"
"123","123",265.32,2009-06-16,"66","C","130","Male"
"124","124",308.02,2002-05-12,"40","B","498","Male"
"125","125",594.87,2005-09-12,"90","D","758","Female"
"126","126",481.04,2016-01-17,"31","B","755","Female"
"127","127",721.9,2002-08-30,"54","C","404","Male"
"128","128",682.31,2014-03-15,"45","B","950","Female"
"129","129",384.7,2014-04-22,"8","C","239","Male"
"130","130",488.6,2002-09-23,"33","B","430","Male"
"131","131",642.56,2002-01-17,"86","C","961","Female"
"132","132",520,2006-08-26,"5","B","379","Male"
"133","133",111.18,2014-11-06,"78","C","972","Female"
"134","134",699.48,2008-10-02,"20","B","300","Male"
"135","135",228.46,2014-11-09,"13","A","324","Male"
"136","136",278.34,2002-01-25,"78","C","374","Male"
"137","137",206.44,2017-04-05,"39","B","689","Female"
"138","138",417.81,2018-11-21,"11","A","736","Female"
"139","139",1123.73,2015-08-05,"10","A","86","Female"
"140","140",321.22,2019-07-02,"37","B","665","Female"
"141","141",819.82,2005-10-04,"76","C","720","Female"
"142","142",556.77,2005-11-03,"65","C","15","Male"
"143","143",267.8,2007-08-06,"13","A","589","Female"
"144","144",752.33,2006-03-22,"26","B","664","Female"
"145","145",288.6,2016-07-04,"65","C","290","Male"
"146","146",393.39,2008-09-30,"10","A","134","Male"
"147","147",791.88,2017-01-23,"93","D","556","Female"
"148","148",341.43,2008-03-20,"11","A","106","Male"
"149","149",651.01,2016-11-14,"46","B","70","Female"
"150","150",1061.24,2019-04-21,"100","A","515","Female"
"151","151",706.23,2013-03-31,"87","C","122","Male"
"152","152",635.63,2015-10-05,"16","A","716","Female"
"153","153",439.74,2011-02-04,"80","C","160","Male"
"154","154",341.35,2017-04-18,"18","A","499","Male"
"155","155",178.1,2005-05-25,"58","C","394","Male"
"156","156",521.27,2010-04-25,"66","C","337","Male"
"157","157",227.96,2003-11-06,"4","B","175","Male"
"158","158",154.32,2009-07-05,"35","B","462","Male"
"159","159",611.03,2014-11-19,"41","B","505","Female"
"160","160",352.7,2004-10-21,"2","A","452","Male"
"161","161",491.4,2002-07-02,"38","B","733","Female"
"162","162",133.13,2005-01-15,"32","B","342","Male"
"163","163",452.39,2016-12-31,"82","C","167","Male"
"164","164",487.22,2007-09-01,"45","B","408","Male"
"165","165",317.33,2017-02-28,"15","A","436","Male"
"166","166",609.39,2009-06-05,"20","B","50","Male"
"167","167",1088.56,2010-03-21,"42","B","489","Male"
"168","168",355.62,2014-11-02,"41","B","188","Male"
"169","169",432.75,2003-05-12,"23","B","541","Female"
"170","170",449.27,2009-12-12,"60","C","176","Male"
"171","171",405.92,2015-09-16,"86","C","204","Male"
"172","172",634.42,2008-11-13,"92","D","128","Male"
"173","173",531.99,2019-12-09,"93","D","511","Female"
"174","174",753.98,2019-07-20,"26","B","969","Female"
"175","175",760.65,2016-01-03,"27","B","643","Female"
"176","176",762.08,2011-11-03,"81","C","967","Female"
"177","177",313,2006-03-04,"74","C","510","Female"
"178","178",424.79,2007-07-21,"57","C","556","Female"
"179","179",688.25,2011-01-16,"7","C","125","Male"
"180","180",702.89,2009-10-20,"84","C","438","Male"
"181","181",362.51,2009-09-16,"39","B","570","Female"
"182","182",441.99,2002-06-11,"66","C","717","Female"
"183","183",790.06,2014-11-04,"19","A","670","Female"
"184","184",494.25,2011-10-22,"50","C","267","Male"
"185","185",319.42,2007-02-08,"89","C","880","Female"
"186","186",388.76,2017-09-04,"25","B","983","Female"
"187","187",515.85,2013-06-13,"83","C","622","Female"
"188","188",76.62,2014-11-29,"16","A","351","Male"
"189","189",461.02,2006-08-30,"82","C","267","Male"
"190","190",627.59,2007-07-17,"8","C","367","Male"
"191","191",298.47,2011-12-11,"35","B","111","Male"
"192","192",408.16,2006-11-09,"37","B","849","Female"
"193","193",56.93,2009-05-21,"73","C","169","Male"
"194","194",134.87,2012-03-21,"75","C","370","Male"
"195","195",378.79,2013-08-09,"50","C","264","Male"
"196","196",521.02,2003-06-17,"28","B","284","Male"
"197","197",430.4,2020-01-01,"90","D","596","Female"
"198","198",198.19,2012-08-12,"68","C","190","Male"
"199","199",529.74,2009-03-20,"4","B","398","Male"
"200","200",938.71,2007-12-28,"42","B","81","Female"
"201","201",540.59,2016-07-09,"66","C","89","Female"
"202","202",840.89,2019-11-28,"85","C","741","Female"
"203","203",888.28,2009-01-29,"9","C","45","Male"
"204","204",527.9,2015-10-31,"4","B","993","Female"
"205","205",436.77,2011-04-16,"4","B","435","Male"
"206","206",466.5,2002-01-06,"78","C","778","Female"
"207","207",567.08,2014-01-02,"40","B","802","Female"
"208","208",770.93,2005-11-10,"89","C","336","Male"
"209","209",964.08,2013-10-01,"75","C","769","Female"
"210","210",231.75,2007-07-21,"5","B","295","Male"
"211","211",482.04,2015-03-08,"36","B","116","Male"
"212","212",362.9,2006-06-12,"62","C","17","Male"
"213","213",529.99,2019-04-22,"48","B","618","Female"
"214","214",575.96,2003-09-28,"69","C","590","Female"
"215","215",707.42,2013-04-10,"81","C","683","Female"
"216","216",596.99,2015-01-02,"100","A","105","Male"
"217","217",452.64,2009-06-21,"47","B","978","Female"
"218","218",79.21,2010-09-14,"16","A","370","Male"
"219","219",243.65,2005-07-22,"73","C","852","Female"
"220","220",618.28,2002-06-07,"66","C","804","Female"
"221","221",674.98,2015-02-06,"73","C","93","Female"
"222","222",347.06,2012-01-08,"43","B","723","Female"
"223","223",337.61,2016-09-29,"6","C","346","Male"
"224","224",677.95,2018-05-04,"66","C","769","Female"
"225","225",308.32,2018-10-04,"45","B","29","Male"
"226","226",377.48,2009-01-20,"73","C","53","Female"
"227","227",318.12,2015-08-26,"20","B","137","Male"
"228","228",665.07,2002-06-06,"12","A","381","Male"
"229","229",642.3,2005-09-11,"58","C","248","Male"
"230","230",647.75,2012-11-19,"15","A","523","Female"
"231","231",352.44,2015-08-27,"79","C","560","Female"
"232","232",354.54,2011-08-12,"12","A","350","Male"
"233","233",625.79,2017-05-22,"63","C","48","Male"
"234","234",381.68,2011-10-11,"37","B","33","Male"
"235","235",270.34,2018-03-22,"90","D","105","Male"
"236","236",516.88,2013-09-12,"27","B","816","Female"
"237","237",750.85,2007-01-24,"9","C","185","Male"
"238","238",628.7,2005-11-28,"83","C","73","Female"
"239","239",509.12,2017-12-09,"43","B","238","Male"
"240","240",522.05,2004-12-20,"60","C","686","Female"
"241","241",259.29,2009-08-12,"24","B","148","Male"
"242","242",556.47,2006-04-13,"53","C","614","Female"
"243","243",677.62,2009-09-25,"31","B","181","Male"
"244","244",393.66,2018-10-02,"11","A","746","Female"
"245","245",331.91,2002-07-30,"20","B","404","Male"
"246","246",795.3,2016-09-09,"97","D","511","Female"
"247","247",287.17,2002-11-11,"17","A","429","Male"
"248","248",674.97,2018-05-02,"75","C","357","Male"
"249","249",677.07,2006-10-04,"30","B","655","Female"
"250","250",357,2015-11-26,"58","C","821","Female"
"251","251",624.68,2009-09-15,"9","C","776","Female"
"252","252",647.83,2007-09-29,"55","C","987","Female"
"253","253",568.45,2018-12-12,"58","C","276","Male"
"254","254",308.02,2013-09-04,"74","C","213","Male"
"255","255",711.9,2018-02-03,"73","C","88","Female"
"256","256",371.78,2015-07-22,"4","B","60","Female"
"257","257",507.09,2012-12-10,"29","B","670","Female"
"258","258",721.67,2014-02-25,"46","B","721","Female"
"259","259",753.47,2003-08-04,"97","D","385","Male"
"260","260",772.57,2012-10-27,"31","B","654","Female"
"261","261",330.29,2018-05-17,"75","C","405","Male"
"262","262",368.07,2014-04-02,"65","C","335","Male"
"263","263",507.68,2004-11-27,"38","B","213","Male"
"264","264",660.91,2015-04-01,"44","B","942","Female"
"265","265",151.22,2004-03-27,"48","B","608","Female"
"266","266",70.29,2003-03-24,"81","C","199","Male"
"267","267",594.98,2012-10-22,"29","B","512","Female"
"268","268",626.44,2019-07-23,"51","C","619","Female"
"269","269",564.01,2003-07-27,"27","B","776","Female"
"270","270",461.67,2011-02-11,"30","B","636","Female"
"271","271",709.95,2016-11-30,"37","B","949","Female"
"272","272",777.07,2015-02-28,"16","A","809","Female"
"273","273",670.38,2002-06-20,"18","A","605","Female"
"274","274",660.1,2004-10-24,"37","B","695","Female"
"275","275",223.98,2013-09-19,"40","B","710","Female"
"276","276",276.07,2008-01-17,"94","D","184","Male"
"277","277",552.52,2016-02-12,"89","C","465","Male"
"278","278",452.63,2019-03-11,"1","A","830","Female"
"279","279",180.79,2005-05-31,"56","C","121","Male"
"280","280",469.06,2005-11-12,"88","C","74","Female"
"281","281",615.35,2005-09-28,"82","C","932","Female"
"282","282",379.2,2014-09-16,"96","D","619","Female"
"283","283",809.52,2008-02-25,"16","A","196","Male"
"284","284",591.39,2002-10-12,"52","C","395","Male"
"285","285",421.2,2009-11-06,"5","B","773","Female"
"286","286",40.85,2008-01-08,"77","C","753","Female"
"287","287",455.17,2017-06-02,"24","B","911","Female"
"288","288",379.58,2006-10-24,"15","A","397","Male"
"289","289",533.18,2007-02-05,"95","D","844","Female"
"290","290",219.78,2008-09-07,"5","B","217","Male"
"291","291",676.17,2015-04-23,"41","B","452","Male"
"292","292",703.69,2019-03-03,"25","B","236","Male"
"293","293",1010.72,2013-03-02,"2","A","858","Female"
"294","294",430.41,2004-09-19,"16","A","314","Male"
"295","295",353.56,2002-04-09,"46","B","66","Female"
"296","296",504.96,2005-05-19,"7","C","428","Male"
"297","297",237.97,2017-08-13,"16","A","479","Male"
"298","298",559.95,2004-01-11,"63","C","515","Female"
"299","299",303.87,2011-12-07,"55","C","28","Male"
"300","300",448.83,2013-01-04,"46","B","899","Female"
"301","301",560.49,2008-04-15,"47","B","616","Female"
"302","302",487.56,2013-05-01,"60","C","928","Female"
"303","303",502.5,2009-09-11,"63","C","769","Female"
"304","304",343.77,2019-05-29,"81","C","22","Male"
"305","305",222.34,2002-05-21,"100","A","916","Female"
"306","306",649.35,2004-01-17,"59","C","38","Male"
"307","307",428.79,2011-07-24,"44","B","482","Male"
"308","308",649.14,2007-04-10,"60","C","182","Male"
"309","309",322.04,2014-06-12,"56","C","511","Female"
"310","310",623.29,2015-09-06,"22","B","991","Female"
"311","311",330.07,2011-01-21,"7","C","995","Female"
"312","312",233.92,2007-01-17,"94","D","741","Female"
"313","313",511.19,2008-08-10,"95","D","87","Female"
"314","314",833.65,2016-12-28,"11","A","262","Male"
"315","315",180.25,2011-01-28,"14","A","654","Female"
"316","316",772.66,2008-09-29,"27","B","381","Male"
"317","317",363.37,2003-11-30,"51","C","641","Female"
"318","318",664.15,2018-04-30,"35","B","431","Male"
"319","319",633.13,2010-12-06,"36","B","525","Female"
"320","320",664.79,2003-09-22,"10","A","16","Male"
"321","321",858.73,2003-01-26,"31","B","425","Male"
"322","322",184.48,2018-11-12,"17","A","578","Female"
"323","323",223.29,2008-12-22,"12","A","130","Male"
"324","324",276.36,2003-09-04,"67","C","806","Female"
"325","325",779.88,2013-07-30,"98","D","584","Female"
"326","326",531.05,2005-03-03,"93","D","697","Female"
"327","327",396.13,2009-11-23,"35","B","987","Female"
"328","328",538.9,2012-12-01,"54","C","46","Male"
"329","329",742.22,2007-09-10,"31","B","268","Male"
"330","330",658.04,2019-12-14,"59","C","118","Male"
"331","331",401.19,2018-03-28,"17","A","655","Female"
"332","332",475.24,2015-02-15,"36","B","258","Male"
"333","333",753.24,2004-08-18,"80","C","368","Male"
"334","334",331.6,2012-03-30,"74","C","15","Male"
"335","335",639.37,2012-05-17,"39","B","164","Male"
"336","336",326.09,2018-11-28,"77","C","758","Female"
"337","337",391.91,2015-12-21,"69","C","131","Male"
"338","338",405.93,2018-11-01,"18","A","837","Female"
"339","339",557.62,2002-09-22,"66","C","595","Female"
"340","340",128.66,2007-06-30,"21","B","929","Female"
"341","341",512.76,2007-05-16,"35","B","936","Female"
"342","342",582.14,2009-04-30,"50","C","850","Female"
"343","343",380.56,2006-08-24,"2","A","673","Female"
"344","344",708.86,2014-04-16,"2","A","716","Female"
"345","345",269.88,2012-07-16,"67","C","993","Female"
"346","346",787.63,2015-02-02,"58","C","321","Male"
"347","347",407.15,2013-02-04,"79","C","394","Male"
"348","348",278.71,2002-03-29,"53","C","511","Female"
"349","349",497.5,2011-09-17,"72","C","79","Female"
"350","350",56.47,2014-10-19,"70","C","901","Female"
"351","351",658.22,2014-04-10,"96","D","414","Male"
"352","352",450.17,2015-12-07,"57","C","818","Female"
"353","353",400.67,2014-08-27,"2","A","911","Female"
"354","354",607.48,2019-01-21,"11","A","283","Male"
"355","355",492.68,2007-06-14,"43","B","18","Male"
"356","356",277.4,2016-03-04,"72","C","927","Female"
"357","357",386.63,2009-09-17,"26","B","97","Female"
"358","358",555.61,2012-05-30,"7","C","442","Male"
"359","359",671.79,2007-04-26,"21","B","952","Female"
"360","360",425.54,2016-02-13,"22","B","241","Male"
"361","361",554.2,2002-04-15,"31","B","785","Female"
"362","362",432.69,2002-07-19,"82","C","554","Female"
"363","363",77.72,2009-12-12,"2","A","831","Female"
"364","364",273.86,2014-01-15,"8","C","890","Female"
"365","365",456.67,2012-07-17,"10","A","675","Female"
"366","366",429.95,2010-02-12,"56","C","422","Male"
"367","367",1078.88,2018-01-19,"81","C","745","Female"
"368","368",389.04,2004-01-14,"60","C","348","Male"
"369","369",734.97,2014-02-27,"15","A","857","Female"
"370","370",1260.53,2005-02-06,"36","B","518","Female"
"371","371",501.12,2015-04-12,"6","C","305","Male"
"372","372",681.31,2016-10-09,"62","C","404","Male"
"373","373",678.47,2013-09-27,"58","C","549","Female"
"374","374",354.01,2002-09-28,"47","B","364","Male"
"375","375",244.87,2010-06-11,"90","D","31","Male"
"376","376",661.29,2005-06-30,"63","C","3","Male"
"377","377",343.93,2012-03-21,"65","C","571","Female"
"378","378",260.34,2018-12-16,"75","C","845","Female"
"379","379",300.83,2005-08-27,"8","C","556","Female"
"380","380",622.74,2011-07-10,"59","C","996","Female"
"381","381",655.31,2005-12-11,"10","A","300","Male"
"382","382",268.79,2010-12-05,"68","C","319","Male"
"383","383",681.34,2015-11-28,"87","C","72","Female"
"384","384",482.06,2017-05-02,"4","B","549","Female"
"385","385",454.72,2004-02-07,"77","C","240","Male"
"386","386",386.27,2014-11-08,"64","C","532","Female"
"387","387",34.02,2003-01-03,"56","C","467","Male"
"388","388",212.69,2011-03-27,"99","D","307","Male"
"389","389",464.87,2019-12-22,"98","D","170","Male"
"390","390",572.76,2013-07-13,"37","B","848","Female"
"391","391",767.43,2006-03-15,"87","C","730","Female"
"392","392",465.02,2003-03-28,"25","B","341","Male"
"393","393",545.93,2017-05-24,"76","C","205","Male"
"394","394",371.16,2003-07-15,"23","B","764","Female"
"395","395",652.16,2007-03-24,"82","C","108","Male"
"396","396",360.13,2009-05-06,"93","D","508","Female"
"397","397",385.09,2009-05-09,"91","D","13","Male"
"398","398",1033.45,2009-03-29,"53","C","942","Female"
"399","399",679.65,2016-07-14,"44","B","151","Male"
"400","400",311.9,2015-02-23,"5","B","535","Female"
"401","401",420.13,2019-12-26,"55","C","528","Female"
"402","402",574.39,2012-05-17,"48","B","232","Male"
"403","403",566.74,2015-07-23,"56","C","241","Male"
"404","404",397.28,2003-06-11,"91","D","529","Female"
"405","405",439.91,2004-12-16,"52","C","942","Female"
"406","406",131.58,2012-07-06,"4","B","693","Female"
"407","407",487.19,2018-11-19,"47","B","563","Female"
"408","408",766.77,2014-03-14,"48","B","875","Female"
"409","409",560.32,2003-07-21,"17","A","230","Male"
"410","410",600.19,2003-02-17,"35","B","332","Male"
"411","411",433.03,2018-09-17,"90","D","531","Female"
"412","412",737.4,2009-06-21,"86","C","785","Female"
"413","413",84.03,2004-11-17,"55","C","843","Female"
"414","414",462.29,2013-05-12,"50","C","525","Female"
"415","415",475.05,2012-02-20,"83","C","559","Female"
"416","416",234.82,2004-12-06,"39","B","681","Female"
"417","417",438.53,2008-09-06,"54","C","106","Male"
"418","418",557.35,2007-05-11,"37","B","833","Female"
"419","419",702.59,2012-06-24,"78","C","930","Female"
"420","420",743.47,2002-08-05,"49","B","312","Male"
"421","421",738.84,2008-05-15,"28","B","385","Male"
"422","422",554.22,2017-12-19,"6","C","506","Female"
"423","423",282.08,2003-02-01,"25","B","262","Male"
"424","424",547.15,2006-05-26,"74","C","382","Male"
"425","425",327.01,2015-07-09,"87","C","261","Male"
"426","426",669.79,2002-11-11,"4","B","605","Female"
"427","427",105.94,2011-01-24,"87","C","901","Female"
"428","428",530.82,2009-05-08,"62","C","814","Female"
"429","429",583.16,2018-07-24,"59","C","19","Male"
"430","430",459.5,2016-11-15,"89","C","932","Female"
"431","431",355.39,2019-04-17,"59","C","653","Female"
"432","432",564.95,2002-09-09,"12","A","155","Male"
"433","433",23.26,2004-10-06,"74","C","15","Male"
"434","434",524.48,2015-01-04,"8","C","847","Female"
"435","435",172.09,2013-04-02,"44","B","726","Female"
"436","436",160.77,2003-08-01,"69","C","997","Female"
"437","437",554.28,2015-03-11,"30","B","901","Female"
"438","438",682.6,2012-10-18,"32","B","83","Female"
"439","439",716.13,2013-01-08,"18","A","929","Female"
"440","440",531.88,2018-03-02,"73","C","859","Female"
"441","441",528.12,2004-01-30,"15","A","833","Female"
"442","442",556.62,2005-12-21,"72","C","950","Female"
"443","443",544.98,2002-03-02,"76","C","360","Male"
"444","444",527.69,2010-08-26,"54","C","118","Male"
"445","445",368.27,2003-11-25,"37","B","448","Male"
"446","446",846.23,2002-04-11,"46","B","47","Male"
"447","447",654,2013-01-03,"31","B","419","Male"
"448","448",594.77,2007-09-16,"83","C","571","Female"
"449","449",561.42,2015-06-25,"10","A","907","Female"
"450","450",767.7,2002-05-27,"61","C","532","Female"
"451","451",315.53,2011-08-14,"44","B","731","Female"
"452","452",300.02,2004-03-21,"14","A","457","Male"
"453","453",210.96,2019-01-12,"35","B","303","Male"
"454","454",361.06,2013-04-16,"66","C","874","Female"
"455","455",220.38,2019-06-26,"47","B","507","Female"
"456","456",899.54,2003-08-11,"22","B","459","Male"
"457","457",929.43,2011-10-10,"34","B","483","Male"
"458","458",738.87,2011-07-29,"97","D","382","Male"
"459","459",351.06,2019-01-16,"80","C","227","Male"
"460","460",490.7,2003-11-09,"20","B","526","Female"
"461","461",427.59,2019-03-19,"27","B","561","Female"
"462","462",278.42,2004-11-30,"44","B","864","Female"
"463","463",556.21,2002-09-26,"36","B","831","Female"
"464","464",455.28,2019-02-15,"11","A","25","Male"
"465","465",451.67,2016-09-09,"48","B","503","Female"
"466","466",433.28,2003-06-16,"25","B","589","Female"
"467","467",488.25,2012-06-25,"67","C","139","Male"
"468","468",344.65,2017-09-27,"56","C","726","Female"
"469","469",574.94,2010-02-04,"70","C","849","Female"
"470","470",722.49,2016-09-11,"55","C","795","Female"
"471","471",194.95,2008-09-08,"89","C","301","Male"
"472","472",710.94,2016-03-23,"5","B","150","Male"
"473","473",581.05,2005-11-23,"82","C","793","Female"
"474","474",289.31,2016-03-26,"58","C","294","Male"
"475","475",587.67,2006-11-09,"95","D","292","Male"
"476","476",435.39,2004-01-03,"10","A","615","Female"
"477","477",231.82,2002-01-01,"1","A","599","Female"
"478","478",538.11,2005-09-20,"66","C","238","Male"
"479","479",289.97,2007-11-10,"39","B","378","Male"
"480","480",624.03,2007-01-26,"28","B","637","Female"
"481","481",749.75,2019-12-11,"67","C","321","Male"
"482","482",354.82,2018-11-21,"15","A","700","Female"
"483","483",203.74,2003-07-06,"80","C","560","Female"
"484","484",180.42,2019-07-16,"4","B","748","Female"
"485","485",419.63,2017-09-02,"65","C","348","Male"
"486","486",447.71,2015-06-02,"51","C","552","Female"
"487","487",385.99,2002-07-25,"68","C","509","Female"
"488","488",605.84,2007-01-07,"36","B","816","Female"
"489","489",360.81,2016-08-15,"22","B","399","Male"
"490","490",431.6,2011-08-19,"25","B","246","Male"
"491","491",448.06,2016-11-28,"16","A","679","Female"
"492","492",264.25,2002-10-30,"66","C","134","Male"
"493","493",859.95,2015-09-23,"9","C","149","Male"
"494","494",602.29,2015-11-01,"35","B","863","Female"
"495","495",433.49,2012-05-10,"48","B","448","Male"
"496","496",132.65,2016-12-16,"1","A","509","Female"
"497","497",306.26,2004-07-12,"26","B","277","Male"
"498","498",413.45,2018-05-26,"88","C","381","Male"
"499","499",211.98,2010-01-07,"42","B","430","Male"
"500","500",518.25,2011-02-15,"92","D","36","Male"
"501","501",333.5,2011-10-07,"48","B","58","Female"
"502","502",770.47,2005-04-07,"98","D","492","Male"
"503","503",650.36,2003-06-26,"29","B","100","Male"
"504","504",313.19,2007-04-14,"26","B","22","Male"
"505","505",424.87,2007-02-17,"98","D","336","Male"
"506","506",180.27,2011-09-12,"96","D","623","Female"
"507","507",319.14,2003-12-10,"62","C","101","Male"
"508","508",618.3,2003-12-19,"84","C","268","Male"
"509","509",591.63,2009-12-15,"35","B","893","Female"
"510","510",612.93,2019-01-19,"37","B","140","Male"
"511","511",372.91,2008-08-31,"74","C","113","Male"
"512","512",684.64,2003-07-27,"54","C","736","Female"
"513","513",807.29,2014-10-15,"54","C","883","Female"
"514","514",526.7,2018-07-13,"65","C","447","Male"
"515","515",600.51,2010-07-16,"76","C","866","Female"
"516","516",644.15,2018-04-17,"61","C","970","Female"
